frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c,emotion
71,0,1.167,0.98,1,0.0,0.0,0.93,0.15,2.06,1.16,0.0,2.02,2.01,1.58,0.0,0.0,0.0,0.0,0.46,0.18,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,中性
72,0,1.183,0.98,1,0.0,0.0,0.88,0.11,1.96,1.36,0.0,1.9,1.92,1.58,0.0,0.0,0.0,0.0,0.5,0.09,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,中性
73,0,1.2,0.98,1,0.0,0.0,0.92,0.14,1.93,1.42,0.0,1.85,1.85,1.58,0.0,0.0,0.0,0.0,0.58,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,中性
74,0,1.217,0.98,1,0.0,0.0,0.95,0.19,1.9,1.29,0.0,1.85,1.83,1.54,0.0,0.0,0.0,0.0,0.57,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,中性
75,0,1.233,0.98,1,0.0,0.0,0.94,0.21,1.96,1.31,0.0,1.92,1.85,1.49,0.0,0.0,0.0,0.0,0.59,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,中性
76,0,1.25,0.98,1,0.0,0.0,1.06,0.11,1.99,1.26,0.0,1.91,1.86,1.52,0.0,0.0,0.0,0.0,0.57,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,中性
77,0,1.267,0.98,1,0.0,0.0,1.06,0.02,1.99,1.3,0.0,1.87,1.85,1.57,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,中性
78,0,1.283,0.98,1,0.0,0.0,1.07,0.01,1.96,1.38,0.0,1.84,1.8,1.55,0.0,0.0,0.0,0.0,0.41,0.02,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,中性
79,0,1.3,0.98,1,0.0,0.0,1.05,0.01,1.97,1.46,0.0,1.85,1.79,1.42,0.0,0.0,0.0,0.0,0.4,0.06,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,中性
80,0,1.317,0.98,1,0.0,0.0,1.1,0.01,1.96,1.52,0.0,1.92,1.77,1.33,0.0,0.0,0.0,0.0,0.33,0.12,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,中性
81,0,1.333,0.98,1,0.0,0.0,1.11,0.0,1.96,1.55,0.0,2.03,1.79,1.33,0.0,0.0,0.0,0.0,0.29,0.15,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,中性
82,0,1.35,0.98,1,0.0,0.0,1.06,0.06,1.95,1.6,0.0,2.04,1.77,1.31,0.0,0.0,0.0,0.0,0.26,0.15,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,中性
83,0,1.367,0.98,1,0.0,0.0,1.01,0.06,2.01,1.81,0.0,2.09,1.81,1.36,0.0,0.0,0.0,0.0,0.35,0.12,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,中性
