frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c,emotion
43,0,0.7,0.98,1,0.39,0.0,0.0,0.0,0.1,0.37,0.0,0.35,0.04,0.0,0.06,0.2,0.0,0.0,1.05,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,悲伤
44,0,0.717,0.98,1,0.32,0.0,0.0,0.0,0.08,0.29,0.0,0.34,0.03,0.0,0.0,0.15,0.0,0.0,1.1,0.41,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,悲伤
45,0,0.734,0.98,1,0.29,0.0,0.0,0.1,0.1,0.55,0.0,0.32,0.01,0.0,0.0,0.18,0.0,0.0,1.0,0.39,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,悲伤
46,0,0.75,0.98,1,0.2,0.0,0.0,0.1,0.14,0.69,0.0,0.35,0.0,0.0,0.0,0.26,0.0,0.01,1.08,0.47,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,悲伤
47,0,0.767,0.98,1,0.17,0.0,0.0,0.1,0.22,0.81,0.0,0.37,0.0,0.0,0.0,0.35,0.0,0.05,1.06,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,悲伤
48,0,0.784,0.98,1,0.24,0.01,0.0,0.0,0.23,0.91,0.0,0.41,0.0,0.0,0.0,0.36,0.0,0.05,1.17,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,悲伤
49,0,0.8,0.98,1,0.29,0.04,0.0,0.0,0.23,0.91,0.0,0.46,0.0,0.0,0.0,0.33,0.0,0.06,1.14,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,悲伤
50,0,0.817,0.98,1,0.26,0.04,0.0,0.0,0.25,0.89,0.01,0.47,0.0,0.0,0.0,0.38,0.0,0.06,1.14,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,悲伤
51,0,0.834,0.98,1,0.19,0.03,0.0,0.0,0.31,0.72,0.01,0.41,0.0,0.0,0.0,0.37,0.0,0.09,1.12,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,悲伤
52,0,0.85,0.98,1,0.23,0.04,0.0,0.0,0.34,0.8,0.01,0.37,0.0,0.0,0.0,0.35,0.0,0.1,1.08,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,悲伤
53,0,0.867,0.98,1,0.26,0.04,0.0,0.0,0.38,0.84,0.01,0.42,0.0,0.0,0.0,0.31,0.0,0.1,1.06,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,悲伤
54,0,0.884,0.98,1,0.3,0.04,0.0,0.0,0.38,0.8,0.01,0.48,0.02,0.0,0.0,0.3,0.0,0.07,1.08,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,悲伤
55,0,0.9,0.98,1,0.29,0.01,0.0,0.0,0.37,0.74,0.01,0.44,0.01,0.0,0.0,0.37,0.0,0.07,1.13,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,悲伤
56,0,0.917,0.98,1,0.3,0.01,0.0,0.0,0.31,0.79,0.0,0.44,0.03,0.0,0.0,0.34,0.0,0.07,1.17,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,悲伤
57,0,0.934,0.98,1,0.32,0.03,0.0,0.0,0.28,0.77,0.0,0.51,0.03,0.0,0.0,0.3,0.0,0.06,1.13,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,悲伤
