frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c,emotion
61,0,2.0,0.98,1,0.0,0.0,0.26,0.0,1.2,1.49,0.68,1.23,0.8,1.59,0.33,1.65,0.0,0.0,0.5,1.11,0.38,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,积极
62,0,2.033,0.98,1,0.0,0.0,0.36,0.0,1.17,1.67,0.79,1.18,0.86,1.68,0.41,1.6,0.0,0.0,0.57,1.08,0.34,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,积极
63,0,2.067,0.98,1,0.0,0.0,0.36,0.0,1.17,1.73,0.59,1.1,0.86,1.34,0.63,1.69,0.0,0.0,0.55,1.1,0.34,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,积极
64,0,2.1,0.98,1,0.0,0.0,0.31,0.0,1.16,1.73,0.5,1.08,0.84,1.34,0.71,1.56,0.0,0.0,0.57,0.98,0.22,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,积极
65,0,2.133,0.98,1,0.0,0.0,0.19,0.0,1.19,1.62,0.5,1.2,0.89,1.27,0.68,1.62,0.04,0.0,0.5,0.93,0.19,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,积极
66,0,2.167,0.98,1,0.0,0.0,0.13,0.0,1.2,1.57,0.5,1.28,0.98,1.41,0.67,1.59,0.06,0.0,0.47,0.91,0.09,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,积极
67,0,2.2,0.98,1,0.0,0.0,0.17,0.0,1.23,1.61,0.49,1.31,0.96,1.49,0.56,1.74,0.17,0.0,0.42,0.93,0.09,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,积极
68,0,2.233,0.98,1,0.0,0.0,0.23,0.0,1.23,1.64,0.46,1.33,0.94,1.37,0.73,1.85,0.13,0.0,0.47,0.79,0.04,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,积极
69,0,2.267,0.98,1,0.0,0.0,0.18,0.0,1.2,1.48,0.44,1.34,0.89,1.3,0.64,1.94,0.2,0.0,0.5,0.65,0.04,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,积极
70,0,2.3,0.98,1,0.0,0.0,0.25,0.0,1.19,1.7,0.39,1.32,0.92,1.03,0.89,1.85,0.13,0.0,0.45,0.57,0.02,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,积极
71,0,2.333,0.98,1,0.0,0.0,0.3,0.0,1.14,1.77,0.3,1.17,0.86,0.94,0.88,1.59,0.13,0.02,0.45,0.68,0.02,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,积极
72,0,2.367,0.98,1,0.0,0.0,0.35,0.0,1.22,1.91,0.39,1.2,0.86,0.99,0.89,1.55,0.08,0.02,0.32,0.71,0.02,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,积极
73,0,2.4,0.98,1,0.0,0.0,0.26,0.0,1.18,1.52,0.51,1.21,0.82,1.16,0.82,1.77,0.06,0.02,0.21,0.8,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,积极
74,0,2.433,0.98,1,0.0,0.0,0.25,0.0,1.16,1.3,0.6,1.29,0.83,1.38,0.81,2.02,0.16,0.0,0.15,0.64,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,积极
75,0,2.467,0.98,1,0.0,0.0,0.3,0.0,1.06,1.17,0.74,1.32,0.85,1.65,0.75,2.0,0.27,0.0,0.24,0.5,0.06,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,积极
76,0,2.5,0.98,1,0.0,0.0,0.36,0.0,1.11,1.38,0.65,1.28,0.9,1.67,0.85,1.66,0.29,0.0,0.36,0.29,0.06,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,积极
77,0,2.533,0.98,1,0.0,0.0,0.47,0.0,1.21,1.68,0.58,1.22,0.97,1.42,1.01,1.48,0.33,0.03,0.39,0.35,0.06,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,积极
78,0,2.567,0.93,1,0.0,0.0,0.48,0.0,1.33,1.71,0.49,1.23,0.96,1.26,1.15,1.45,0.3,0.05,0.36,0.59,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,积极
79,0,2.6,0.98,1,0.0,0.0,0.49,0.0,1.33,1.69,0.62,1.34,0.97,1.31,0.91,1.65,0.33,0.06,0.32,0.64,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,积极
80,0,2.633,0.98,1,0.0,0.0,0.34,0.0,1.27,1.43,0.75,1.39,0.95,1.57,0.74,1.84,0.19,0.02,0.24,0.64,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,积极
81,0,2.667,0.98,1,0.0,0.0,0.28,0.0,1.16,1.35,0.83,1.34,0.94,1.65,0.74,2.07,0.11,0.01,0.16,0.51,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,积极
82,0,2.7,0.98,1,0.0,0.0,0.23,0.0,1.14,1.3,0.85,1.29,0.93,1.68,0.97,2.21,0.05,0.0,0.12,0.59,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,积极
83,0,2.733,0.98,1,0.0,0.0,0.27,0.0,1.18,1.41,0.89,1.35,0.94,1.75,0.99,2.19,0.21,0.0,0.21,0.61,0.03,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,积极
