frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
44,  0,  1.433,  0.98,  1, 0.17, 0.00, 1.00, 0.00, 0.00, 0.43, 0.00, 0.16, 0.60, 0.00, 0.00, 0.15, 0.00, 0.00, 0.30, 0.05, 0.09, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
45,  0,  1.467,  0.98,  1, 0.11, 0.00, 0.96, 0.01, 0.00, 0.34, 0.00, 0.14, 0.62, 0.00, 0.00, 0.17, 0.00, 0.00, 0.37, 0.06, 0.09, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
46,  0,  1.500,  0.98,  1, 0.01, 0.00, 0.89, 0.02, 0.00, 0.38, 0.00, 0.07, 0.62, 0.00, 0.00, 0.17, 0.00, 0.00, 0.43, 0.09, 0.09, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
47,  0,  1.533,  0.98,  1, 0.01, 0.00, 0.83, 0.02, 0.00, 0.46, 0.00, 0.11, 0.65, 0.00, 0.00, 0.15, 0.00, 0.00, 0.45, 0.06, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
48,  0,  1.567,  0.98,  1, 0.01, 0.00, 0.84, 0.01, 0.00, 0.53, 0.00, 0.11, 0.65, 0.00, 0.01, 0.12, 0.00, 0.00, 0.49, 0.05, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
49,  0,  1.600,  0.98,  1, 0.00, 0.00, 0.86, 0.00, 0.00, 0.56, 0.00, 0.15, 0.64, 0.00, 0.01, 0.09, 0.00, 0.00, 0.45, 0.02, 0.10, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
50,  0,  1.633,  0.98,  1, 0.00, 0.00, 0.90, 0.00, 0.00, 0.61, 0.00, 0.17, 0.66, 0.00, 0.01, 0.04, 0.00, 0.00, 0.35, 0.00, 0.10, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
51,  0,  1.667,  0.98,  1, 0.01, 0.03, 0.98, 0.00, 0.00, 0.53, 0.00, 0.19, 0.66, 0.00, 0.00, 0.09, 0.00, 0.00, 0.24, 0.00, 0.14, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
52,  0,  1.700,  0.98,  1, 0.01, 0.14, 1.10, 0.00, 0.00, 0.54, 0.00, 0.14, 0.66, 0.00, 0.00, 0.06, 0.00, 0.00, 0.30, 0.00, 0.10, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
53,  0,  1.733,  0.98,  1, 0.01, 0.14, 1.13, 0.01, 0.00, 0.57, 0.00, 0.11, 0.64, 0.00, 0.00, 0.12, 0.00, 0.00, 0.27, 0.04, 0.11, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
