,N_1s,N_2s,N_3s,N_4s,N_5s,N_6s,N_7s,N_8s,N_9s,N_10s,N_11s,N_12s,N_13s,N_14s,N_15s,P1_1s,P1_2s,P1_3s,P1_4s,P1_5s,P1_6s,P1_7s,P1_8s,P1_9s,P1_10s,P1_11s,P1_12s,P1_13s,P1_14s,P1_15s,P2_1s,P2_2s,P2_3s,P2_4s,P2_5s,P2_6s,P2_7s,P2_8s,P2_9s,P2_10s,P2_11s,P2_12s,P2_13s,P2_14s,P2_15s
AU17_U3,16.25,25.7,35.08,22.32,6.12,4.92,12.16,28.69,22.06,19.8,5.28,26.27,14.95,18.04,16.24,79.62,71.37,63.65,60.78,75.44,69.05,73.64,77.65,63.11,58.550000000000004,65.02,63.03,72.13,73.71,76.8,0.0,0.0,1.59,1.62,1.21,5.55,2.77,1.5,3.68,11.120000000000001,6.15,2.6,0.98,2.35,2.16
AU20_U3,0.36,7.67,5.66,6.28,0.87,1.5,2.64,23.87,5.82,9.79,0.22,0.39,0.01,8.03,10.19,0.15000000000000002,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.07,0.02,0.36,0.47000000000000003,2.42,0.64,0.42,5.72,1.46,0.48,6.83,0.99,0.88,7.08,12.19,11.31,8.540000000000001,10.92,11.03,5.25,5.37,8.23
AU23_U3,12.44,16.77,16.76,10.56,6.96,9.06,4.39,0.13,0.0,0.0,1.19,0.21000000000000002,0.0,0.18,0.03,0.77,1.56,0.35000000000000003,0.31,0.5800000000000001,3.31,6.7,13.65,9.26,5.58,4.09,1.95,12.96,23.17,15.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0
AU25_U3,16.07,16.81,29.35,32.36,29.25,29.04,35.68,38.93,42.25,53.38,93.79,71.14,27.99,3.14,5.1,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.64,0.0,0.0,0.0,31.45,28.84,31.11,21.77,24.18,28.15,28.73,26.27,28.31,34.86,29.74,25.56,28.080000000000002,25.57,27.14
AU26_U3,72.08,66.26,86.03999999999999,78.2,86.63,90.26,83.79,76.65,72.04,87.38,125.8,112.78999999999999,28.19,0.0,6.86,27.92,21.91,16.49,16.05,14.45,16.330000000000002,2.08,1.08,1.08,1.09,11.91,16.46,6.66,5.37,11.78,9.86,3.34,7.720000000000001,0.9,4.25,10.21,16.96,9.64,11.9,21.43,10.58,11.63,12.37,12.51,8.15
AU45_U3,0.06,4.3,5.32,5.2,0.4,0.44,6.08,8.03,19.61,14.33,14.09,2.9,7.41,3.25,27.93,5.14,8.120000000000001,14.48,9.97,7.0,5.92,15.46,20.45,3.41,16.67,57.38,12.37,2.08,6.3,7.84,0.03,0.12000000000000001,0.16,1.13,0.0,0.0,1.26,1.12,2.35,1.62,0.03,0.0,0.0,0.98,0.03
AU01_U4,0.0,0.24,0.6,8.040000000000001,1.27,1.8800000000000001,2.87,6.05,5.93,4.36,1.19,2.68,2.58,6.68,7.92,0.61,3.78,4.85,0.12,0.03,0.58,2.69,2.7,2.44,3.98,3.12,3.05,0.36,2.5,3.37,5.94,4.17,2.52,0.8400000000000001,3.3200000000000003,3.12,0.69,7.76,3.08,18.62,9.71,25.17,24.56,12.950000000000001,14.24
AU02_U4,0.54,1.53,0.54,0.35,4.51,0.22000000000000003,0.99,5.51,8.9,9.46,0.06,2.2600000000000002,5.26,1.05,6.42,0.03,0.0,1.07,0.39,0.0,0.87,1.56,1.11,3.87,4.07,3.85,1.69,0.99,0.77,3.13,2.42,2.57,3.97,3.98,1.05,3.18,1.8,3.87,10.0,2.71,0.66,5.61,7.0,5.22,3.16
AU04_U4,71.42,73.69,80.95,79.16,85.37,73.91,79.41,91.95,82.79,75.06,83.97,84.67,91.22,88.28,89.51,132.39,134.22,120.83,119.28,122.23,134.53,122.25,122.35,124.07000000000001,125.34,127.69,125.66,121.89999999999999,116.59,127.97,106.5,112.59,94.67,110.67,119.23,126.23,127.47,125.1,125.6,108.45,96.45,104.88,111.78,103.78,99.19
AU05_U4,0.0,0.48000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.29,1.67,1.41,0.27,0.03,3.54,0.78,2.32,0.2,0.95,0.48,2.21,0.42000000000000004,0.51,3.9,1.28,0.31000000000000005,0.35000000000000003,0.47,0.68,0.0,0.0,0.24,0.03,1.62,0.0,0.8400000000000001,1.37,0.96,0.06,0.0,3.7,0.42,0.0,0.0
AU06_U4,136.53,132.24,139.98,136.47,138.27,141.95,133.52,133.81,140.8,134.37,128.32,133.09,136.06,137.71,134.19,137.44,142.94,146.0,136.5,130.14,129.25,134.62,142.24,142.91,144.82,147.55,151.12,138.45,137.49,145.04,174.66,175.18,181.16,171.94,158.47,164.28,158.95,158.55,160.19,175.61,177.38,177.7,179.37,180.9,178.5
