frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
38,  0,  1.233,  0.98,  1, 0.20, 0.12, 1.16, 0.05, 0.72, 1.52, 0.02, 0.23, 0.19, 0.00, 0.08, 0.15, 0.00, 0.00, 0.28, 0.09, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
39,  0,  1.267,  0.98,  1, 0.15, 0.03, 1.10, 0.05, 0.73, 1.51, 0.01, 0.27, 0.22, 0.00, 0.15, 0.09, 0.00, 0.00, 0.30, 0.02, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
40,  0,  1.300,  0.98,  1, 0.10, 0.10, 1.09, 0.05, 0.71, 1.44, 0.00, 0.33, 0.25, 0.00, 0.15, 0.04, 0.00, 0.00, 0.32, 0.02, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
41,  0,  1.333,  0.98,  1, 0.05, 0.10, 1.06, 0.06, 0.70, 1.37, 0.00, 0.32, 0.28, 0.00, 0.15, 0.08, 0.00, 0.00, 0.35, 0.03, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
42,  0,  1.367,  0.98,  1, 0.04, 0.10, 1.11, 0.13, 0.71, 1.28, 0.00, 0.25, 0.27, 0.00, 0.07, 0.07, 0.00, 0.00, 0.38, 0.02, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
43,  0,  1.400,  0.98,  1, 0.04, 0.05, 1.12, 0.16, 0.73, 1.29, 0.00, 0.22, 0.30, 0.00, 0.07, 0.14, 0.00, 0.00, 0.40, 0.04, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
44,  0,  1.433,  0.98,  1, 0.07, 0.04, 1.17, 0.14, 0.71, 1.35, 0.00, 0.21, 0.29, 0.00, 0.04, 0.08, 0.00, 0.00, 0.40, 0.03, 0.02, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
45,  0,  1.467,  0.98,  1, 0.13, 0.06, 1.19, 0.06, 0.69, 1.41, 0.00, 0.25, 0.30, 0.00, 0.04, 0.14, 0.00, 0.00, 0.36, 0.03, 0.02, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
46,  0,  1.500,  0.98,  1, 0.10, 0.05, 1.16, 0.05, 0.69, 1.47, 0.00, 0.25, 0.27, 0.00, 0.05, 0.11, 0.00, 0.00, 0.32, 0.03, 0.03, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
47,  0,  1.533,  0.98,  1, 0.08, 0.05, 1.13, 0.07, 0.70, 1.45, 0.00, 0.25, 0.25, 0.00, 0.04, 0.25, 0.00, 0.00, 0.29, 0.03, 0.02, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
48,  0,  1.567,  0.98,  1, 0.09, 0.05, 1.09, 0.10, 0.71, 1.52, 0.00, 0.26, 0.23, 0.00, 0.04, 0.21, 0.00, 0.00, 0.25, 0.03, 0.02, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
49,  0,  1.600,  0.98,  1, 0.16, 0.08, 1.11, 0.10, 0.66, 1.52, 0.00, 0.23, 0.21, 0.00, 0.03, 0.22, 0.00, 0.00, 0.21, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
50,  0,  1.633,  0.98,  1, 0.20, 0.10, 1.09, 0.08, 0.63, 1.56, 0.00, 0.23, 0.20, 0.00, 0.02, 0.17, 0.00, 0.00, 0.19, 0.01, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
51,  0,  1.667,  0.98,  1, 0.22, 0.15, 1.13, 0.06, 0.64, 1.57, 0.00, 0.21, 0.22, 0.00, 0.01, 0.15, 0.00, 0.00, 0.20, 0.03, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
52,  0,  1.700,  0.98,  1, 0.16, 0.14, 1.15, 0.04, 0.66, 1.55, 0.00, 0.22, 0.20, 0.00, 0.04, 0.20, 0.00, 0.00, 0.24, 0.03, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
53,  0,  1.733,  0.98,  1, 0.16, 0.17, 1.11, 0.03, 0.69, 1.53, 0.00, 0.21, 0.22, 0.00, 0.04, 0.12, 0.00, 0.00, 0.30, 0.04, 0.05, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
54,  0,  1.767,  0.98,  1, 0.12, 0.08, 1.05, 0.02, 0.67, 1.41, 0.00, 0.17, 0.19, 0.00, 0.04, 0.13, 0.00, 0.00, 0.38, 0.07, 0.09, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
